YR,CHDC_A,CHNDC_A,TH,CTDC_ACPM,CTDC_CARB,CTDC_COMB,CTDC_GAS,CTDC_GASNI,CTDC_JETA1,CTDC_MJETA1GAS,CTDC_QUER,TCTDC,CTNDC_ACPM,CTNDC_BAG,CTNDC_BGAS,CTNDC_BMAS,CTNDC_CARB,CTNDC_COMB,CTNDC_GAS,CTNDC_RADSOL,CTNDC_JETA1,CTNDC_QUER,TCTNDC,TCT,CEDC_VTO,CENDC_VTO,TCE,CSDC_SOL,CSNDC_SOL,TCS,ACDC_BAG,ACDC_BMAS,ACDC_CARB,ACDC_GAS,TACDC,ACNDC_BAG,ACNDC_BMAS,ACNDC_CARB,ACNDC_GAS,TACNDC,TAC,GT
2006,40253.40348,2304.488286,42557.89177,0.65,2588.021751,15.14906435,6870.05632,0,0,0,0.14,9474.017135,0,0,0,0,0,0,151.0905707,0,0,0,151.0905707,9625.107706,0,62.98139279,62.98139279,0,0,0,0,0,0,0,0,86.45235718,1.310542,2.765073,3.53402,94.06199218,94.06199218,52340.04286
2007,41795.16783,2446.929764,44242.09759,1.29606661,2903.841326,18.48267301,6117.908029,0,0,0,0,9041.528094,0,0,0,0,0,0,220.0044756,0,0,0,220.0044756,9261.53257,0,49.89097492,49.89097492,0,0,0,0,0,0,0,0,67.82755567,1.510684,0.002666,3.26101,72.60191567,72.60191567,53626.12306
2008,43519.99168,2640.891132,46160.88281,0.43811849,2486.837526,14.02943463,5231.882094,0,0,0,0,7733.187173,0,0,0,0,0,0,395.1190641,0,0,0,395.1190641,8128.306238,0,53.91816671,53.91816671,0,0,0,0,0,0,0,0,46.64864553,1.70642903,0.001442,3.534226,51.89074256,51.89074256,54394.99796
2009,38713.78488,2123.581155,40837.36603,275.9934336,3695.103712,92.16156184,10417.2202,0,0,0,7.244264,14487.72317,0,0,0,0,0,0,476.6696443,0,0,0,476.6696443,14964.39281,0,57.70781403,57.70781403,0,0,0,0,0,0,0,0,102.9746103,1.0189958,2.149211,0.016328,106.1591451,106.1591451,55965.6258
2010,38088.57585,2468.886778,40557.46263,480.3964644,3464.599459,0,11545.06025,0,0,0,2.945746,15493.00192,0,0,0,0,0,0,478.1480701,0,0,0,478.1480701,15971.14999,0,38.56991991,38.56991991,0,0,0,0,0,0,0,0,204.9860629,0,12.83784,2.62522392,220.4491268,220.4491268,56787.63167
2011,45583.07633,2848.650517,48431.72685,4.69190707,1632.093251,105.0266255,7641.898583,0,0,0,0,9383.710367,0,0,0,0,0,0,446.8570037,0,0,0,446.8570037,9830.56737,0,41.27194458,41.27194458,0,0,0,0,0,0,0,0,311.3579739,0,4.140598,1.36320672,316.8617786,316.8617786,58620.42794
2012,44923.64288,2658.066884,47581.70976,115.8052623,2492.621149,87.02234121,8711.281943,0,0,0,0.450489,11407.18118,0,0,0,0,0,0,499.6770654,0,0,0,499.6770654,11906.85825,0,54.85471133,54.85471133,0,0,0,0,0,0,0,0,343.8571696,0,0,2.78976374,346.6469333,346.6469333,59890.06966
2013,41835.94094,2526.849137,44362.79007,225.2498265,5526.164244,127.0693252,10955.8468,0,1.541049,0,2.761489,16838.63274,0,0,0,0,0,0,585.5554425,0,0,0,585.5554425,17424.18818,0,57.6248026,57.6248026,0,0,0,0,0,0,0,0,348.9880349,0,1.15390548,2.99632862,353.138269,353.138269,62197.74132
2014,42157.6467,2584.316695,44741.9634,180.2451155,5630.233663,112.8090538,12369.30036,0,8.569062,104.392969,0.13261,18405.68284,0,0,0,0,0,0,637.9587238,0,0,0,637.9587238,19043.64156,0,70.23029788,70.23029788,0,0,0,0,0,0,0,0,441.7067828,0,28.98653478,1.32631758,472.0196352,472.0196352,64327.85489
2015,42463.75255,2218.149818,44681.90237,1042.85275,6244.982941,490.7074719,12807.92346,0,0,0,44.720532,20631.18715,0,0,0,0,0,0,640.8198393,0,0,0,640.8198393,21272.00699,0,68.37744831,68.37744831,0,0,0,0,0,0,0,0,513.8526237,0,10.5485169,1.78598543,526.187126,526.187126,66548.47393
