YR,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK
2005,514853.00,37909.00,21844.00,3845.00,9857.00,1332.00,1252.00,27430.00,6106.00,16418.00,4157.00,1267.00,143.00,21322.00,4355.00,978.00,2609.00,3401.00,616.00,2056.00,615.00,1597.00,4977.00,8833.00,7341.00,1496.00,4590.00,1002.00,2181.00,1442.00,26681.00,7974.00,8743.00,2140.00,8161.00,11299.00,4503.00,1440.00,3705.00,1675.00,4398.00,1654.00,2768.00,12577.00,10917.00,1686.00,6089.00,1958.00,3148.00,973.00,17573.00,17573.00,6311.00,6311.00,6691.00,6691.00,40676.00,37007.00,3684.00,26666.00,20186.00,209.00,2076.00,3929.00,461.00,18155.00,18155.00,12730.00,12730.00,15424.00,15424.00,50233.00,50233.00,36057.00,17311.00,18749.00,25183.00,25183.00,26883.00,14084.00,12820.00,19832.00,19832.00,8840.00,8840.00,3939.00,3939.00,472695.00,42525.00
2006,549435.00,38717.00,21729.00,4153.00,10271.00,1351.00,1346.00,28059.00,6772.00,16323.00,4077.00,1391.00,152.00,22235.00,4578.00,987.00,2659.00,3504.00,638.00,2256.00,619.00,1719.00,5204.00,9638.00,8075.00,1569.00,4917.00,1093.00,2355.00,1500.00,28964.00,8211.00,9448.00,2247.00,9320.00,12393.00,4833.00,1589.00,3954.00,1958.00,4699.00,1721.00,3012.00,13131.00,11384.00,1773.00,6501.00,1985.00,3506.00,1015.00,19701.00,19701.00,7081.00,7081.00,7503.00,7503.00,43932.00,40046.00,3888.00,28455.00,21060.00,212.00,2410.00,4358.00,547.00,19580.00,19580.00,14629.00,14629.00,16440.00,16440.00,52265.00,52265.00,38592.00,18519.00,20076.00,26561.00,26561.00,27466.00,14482.00,13013.00,21135.00,21135.00,9405.00,9405.00,4026.00,4026.00,501990.00,47627.00
2007,586457.00,40239.00,22630.00,4336.00,10633.00,1366.00,1422.00,28434.00,7240.00,16367.00,3834.00,1529.00,155.00,23431.00,4901.00,1038.00,2726.00,3762.00,633.00,2194.00,641.00,1948.00,5610.00,10852.00,9064.00,1793.00,5249.00,1210.00,2481.00,1608.00,30971.00,8477.00,10100.00,2416.00,10159.00,13734.00,5048.00,1681.00,4356.00,2405.00,4981.00,1851.00,3161.00,13760.00,11811.00,1949.00,6717.00,2012.00,3657.00,1053.00,20410.00,20410.00,8199.00,8199.00,7622.00,7622.00,47673.00,43574.00,4081.00,30515.00,22665.00,229.00,2445.00,4661.00,644.00,21157.00,21157.00,16761.00,16761.00,18702.00,18702.00,54225.00,54225.00,41246.00,19787.00,21461.00,27777.00,27777.00,28751.00,15040.00,13733.00,21684.00,21684.00,10011.00,10011.00,4134.00,4134.00,533656.00,52813.00
2008,605713.00,39915.00,22152.00,3972.00,11033.00,1367.00,1455.00,31101.00,7606.00,18886.00,3574.00,1629.00,156.00,24041.00,5176.00,1059.00,2880.00,3883.00,609.00,2097.00,691.00,1991.00,5705.00,10760.00,8826.00,1927.00,5345.00,1162.00,2581.00,1632.00,31407.00,8483.00,10440.00,2422.00,10213.00,12946.00,5127.00,1581.00,4396.00,1850.00,5119.00,1889.00,3266.00,13742.00,11988.00,1807.00,6826.00,2031.00,3731.00,1069.00,22928.00,22928.00,8547.00,8547.00,8635.00,8635.00,49047.00,44861.00,4163.00,31322.00,23112.00,247.00,2451.00,4943.00,697.00,22018.00,22018.00,17120.00,17120.00,20598.00,20598.00,55731.00,55731.00,42800.00,20529.00,22273.00,28152.00,28152.00,29668.00,15197.00,14485.00,22112.00,22112.00,10458.00,10458.00,4111.00,4111.00,550163.00,55501.00
2009,612616.00,39822.00,23060.00,3066.00,10996.00,1394.00,1380.00,34659.00,7578.00,21756.00,4174.00,1696.00,164.00,24387.00,5202.00,1129.00,2855.00,3817.00,471.00,2398.00,683.00,2022.00,5833.00,9324.00,7734.00,1593.00,5274.00,1056.00,2589.00,1651.00,30481.00,8266.00,10086.00,2408.00,9847.00,12020.00,5144.00,1489.00,3869.00,1619.00,4779.00,1851.00,2941.00,14204.00,12152.00,2013.00,6873.00,2057.00,3737.00,1082.00,22324.00,22324.00,9742.00,9742.00,8565.00,8565.00,48605.00,44304.00,4298.00,31075.00,23028.00,225.00,2554.00,4679.00,691.00,22655.00,22655.00,15669.00,15669.00,21315.00,21315.00,57866.00,57866.00,43998.00,21116.00,22885.00,29086.00,29086.00,30428.00,15465.00,14969.00,22837.00,22837.00,10711.00,10711.00,4197.00,4197.00,557953.00,54615.00
2010,640151.00,39943.00,22863.00,3415.00,10902.00,1423.00,1354.00,38427.00,7721.00,25403.00,4203.00,1492.00,164.00,23932.00,5217.00,1173.00,2838.00,3908.00,486.00,2104.00,658.00,1983.00,5585.00,9642.00,7967.00,1676.00,5406.00,1052.00,2769.00,1578.00,30822.00,8555.00,10240.00,2476.00,9722.00,13136.00,5320.00,1653.00,4118.00,2082.00,4987.00,1912.00,3092.00,14888.00,12705.00,2145.00,7030.00,2073.00,3828.00,1131.00,22035.00,22035.00,9751.00,9751.00,8542.00,8542.00,51171.00,46676.00,4490.00,32835.00,24131.00,231.00,2884.00,4917.00,741.00,23796.00,23796.00,18256.00,18256.00,22312.00,22312.00,59932.00,59932.00,45354.00,21757.00,23600.00,31284.00,31284.00,31079.00,15573.00,15506.00,23573.00,23573.00,10994.00,10994.00,4276.00,4276.00,582133.00,58006.00
2011,684628.00,40706.00,23482.00,3134.00,11348.00,1494.00,1359.00,43974.00,8857.00,29921.00,3733.00,1581.00,172.00,24803.00,5407.00,1237.00,2947.00,4030.00,453.00,2328.00,662.00,2016.00,5657.00,10422.00,8555.00,1866.00,5541.00,1027.00,2881.00,1627.00,32688.00,8677.00,10686.00,2640.00,10816.00,14287.00,5617.00,1814.00,4310.00,2522.00,5134.00,2068.00,3069.00,15386.00,13046.00,2309.00,7210.00,2128.00,3923.00,1162.00,22711.00,22711.00,11003.00,11003.00,8889.00,8889.00,55266.00,50641.00,4626.00,35146.00,25187.00,234.00,3332.00,5663.00,786.00,24756.00,24756.00,20153.00,20153.00,24754.00,24754.00,61628.00,61628.00,48568.00,23283.00,25288.00,34831.00,34831.00,31864.00,16056.00,15809.00,23797.00,23797.00,11773.00,11773.00,4423.00,4423.00,620652.00,64001.00
2012,711415.00,41725.00,24221.00,3066.00,11652.00,1593.00,1405.00,46335.00,9199.00,31308.00,4432.00,1621.00,186.00,25068.00,5626.00,1250.00,2981.00,3966.00,418.00,2297.00,670.00,2030.00,5804.00,10355.00,8552.00,1803.00,5671.00,1009.00,2989.00,1673.00,32768.00,8332.00,10818.00,2616.00,11112.00,14502.00,5784.00,1718.00,4312.00,2680.00,5259.00,2114.00,3148.00,15748.00,13301.00,2422.00,7338.00,2218.00,3936.00,1185.00,24045.00,24045.00,11662.00,11662.00,9413.00,9413.00,57437.00,52609.00,4829.00,36429.00,25846.00,230.00,3519.00,6055.00,822.00,25686.00,25686.00,20415.00,20415.00,26626.00,26626.00,63579.00,63579.00,50907.00,24399.00,26511.00,37543.00,37543.00,33081.00,16568.00,16514.00,24817.00,24817.00,12139.00,12139.00,4545.00,4545.00,644576.00,66873.00
2013,747939.00,44835.00,25727.00,4167.00,11930.00,1652.00,1424.00,48794.00,8829.00,33967.00,3876.00,1786.00,177.00,25935.00,5646.00,1314.00,3139.00,3918.00,564.00,2411.00,663.00,2143.00,6110.00,10128.00,8428.00,1701.00,5660.00,1032.00,2995.00,1633.00,33774.00,8860.00,11155.00,2626.00,11280.00,14298.00,5573.00,1834.00,4450.00,2431.00,5279.00,2175.00,3103.00,16384.00,13758.00,2608.00,7563.00,2311.00,4031.00,1221.00,26444.00,26444.00,13177.00,13177.00,10552.00,10552.00,60130.00,55024.00,5103.00,37733.00,26271.00,227.00,3899.00,6466.00,864.00,27318.00,27318.00,22218.00,22218.00,29160.00,29160.00,65625.00,65625.00,53593.00,25690.00,27907.00,39212.00,39212.00,34420.00,17287.00,17135.00,27055.00,27055.00,13051.00,13051.00,4668.00,4668.00,678826.00,69095.00
2014,781589.00,46140.00,26164.00,4810.00,11959.00,1759.00,1448.00,48136.00,9099.00,33135.00,3820.00,1990.00,182.00,26660.00,5742.00,1392.00,3177.00,3825.00,631.00,2721.00,704.00,2187.00,6274.00,10303.00,8552.00,1751.00,5782.00,1059.00,3131.00,1603.00,34786.00,8147.00,11255.00,2660.00,12743.00,14852.00,5841.00,1857.00,4547.00,2597.00,5435.00,2204.00,3233.00,17031.00,14207.00,2816.00,7744.00,2366.00,4116.00,1261.00,28294.00,28294.00,14914.00,14914.00,11395.00,11395.00,63124.00,57696.00,5420.00,39278.00,27166.00,232.00,4169.00,6793.00,910.00,28679.00,28679.00,23654.00,23654.00,32139.00,32139.00,67664.00,67664.00,57500.00,27555.00,29949.00,43522.00,43522.00,35131.00,17925.00,17207.00,27758.00,27758.00,13368.00,13368.00,4844.00,4844.00,708731.00,72899.00
