YR,RU,RR,CFRT,CFCP,PA,EA,PTAB,PTEX,PRVEST,MARQ,MAD,PYC,IMP,COQREF,SPQ,PFARM,PCYP,PMNM,PMB,PMNME,PIEP,AEE,MENCP,VRS,OET,MCS,OIM,CFA,CFM,CFI,CFIT,CFT
2010,16608.83,2884.83,19493.66,11465.01,1854.18,401.34,16.98,617.23,307.92,87.07,48.01,853.6,121.92,75.39,1260.29,0,1136.68,1373.99,2394.82,235.76,24.5,184.74,102.39,115.78,29.37,92.29,156.27,456.86,3243.96,2078.12,17269.46,48228.13
2011,16782.86,2844.16,19627.02,11527.49,1883.4,399.3,15.31,615.23,304.21,92.69,54.01,904.73,128.12,108.12,1302.14,0,1155.27,1327.76,2789.37,238.18,22.29,196.27,105.51,125.73,29.75,100.71,143.41,457.08,3087.48,2515.23,18101.3,49255.81
2012,17088.39,3017.69,20106.08,11737.61,1836.93,436.28,13.78,556.63,275.62,88.24,58.02,871.76,139.37,226.92,1255.32,0,1078.41,1386.32,2546.95,257.88,18.55,190.71,95.79,123.22,27.04,97.65,130.4,507.96,3742.51,3584.47,19546.73,51390.42
2013,17777.55,3059.14,20836.69,12355.87,1925.27,443.65,0,594.15,237.84,88.83,59.39,1130.66,137.95,219.23,1103.12,150.75,1110.25,1420.88,2554.03,224.4,2.34,196.1,88.26,119.2,24.89,98.2,131.98,549.55,3839.98,3881.84,20332.74,53525.3
2014,18523.29,3208.76,21732.05,12825.16,1981.55,466.77,0,607.39,202.56,88.61,70.94,1165.03,138.92,158.71,1020.09,154.63,1132.7,1444,2496.44,217.37,0.87,194.58,85.58,112.15,24.55,95.1,120.55,547.62,3984.45,4472.81,20983.97,55541.18
2015,18906.72,3470.24,22376.96,13063.63,2025.78,481.68,0,631.32,144.2,100.77,104.96,1008.62,135.84,159.07,919.68,154.88,1131.71,1500.29,2346.76,229.78,0,187.9,86.76,113.76,25.8,88.68,143.18,588.73,4153.08,4881.86,21345.09,56785.68
2016,19579.51,3110.01,22689.52,13216.98,2088.49,507.63,0,646.46,123.01,100.69,125.57,1041.02,137.02,115.35,851.88,159.13,1156.53,1527.25,2297.68,222.95,0,186.76,84.26,107.22,25.49,86.03,131,597.41,4196.75,4616.72,21132.3,57038.8
2017,19780.8,3399.48,23180.28,15895.4,2450.81,570.188,0,578.937,159.931,96.4395,137.329,833.298,156.981,37.3829,1128.05,190.811,1282.72,1527.55,2626.52,258.253,0,192.163,77.086,90.0577,28.2951,85.6838,156.96,620.932,4239.97,2149.07,19675.418,58751.098
2018,21070.3,3619.91,24690.21,13294.9,2106.96,497.473,0,546.582,163.661,86.978,102.644,819,139.685,57.7743,1025.05,162.79,1141.2,1403.86,2407.51,229.927,0,180.106,76.9651,90.2629,25.172,82.0031,138.193,773.113,5310.41,3022.47,20589.7894,58574.8994
2019,21159.3,3635.21,24794.51,16350.8,2482.7,583.244,0,602.658,178.733,95.245,114.778,982.543,161.262,38.3336,1213.43,198.365,1345.52,1690.52,2772.1,270.566,0,204.788,82.0446,102.2,32.2673,91.7376,158.247,838.589,5542.04,2770.48,22552.3911,63697.7011
