Año,PIBUSD_Total,PIBUSD_Agro,PIBUSD_Agro_Cultivos,PIBUSD_Agro_Cafe,PIBUSD_Agro_Ganado,PIBUSD_Agro_Madera,PIBUSD_Agro_Pesca,PIBUSD_Minas,PIBUSD_Minas_Carbon,PIBUSD_Minas_Petroleo,PIBUSD_Minas_Metales,PIBUSD_Minas_Canteras,PIBUSD_Minas_Otros,PIBUSD_Alimentos,PIBUSD_Alimentos_Carne,PIBUSD_Alimentos_Aceite,PIBUSD_Alimentos_Lacteos,PIBUSD_Alimentos_Almidon,PIBUSD_Alimentos_Cafe,PIBUSD_Alimentos_Azucar,PIBUSD_Alimentos_Cacao,PIBUSD_Alimentos_Frutas,PIBUSD_Alimentos_Bebidas,PIBUSD_Textiles,PIBUSD_Textiles_Confeccion,PIBUSD_Textiles_Cuero,PIBUSD_Madera,PIBUSD_Madera_Transformacion,PIBUSD_Madera_Papel,PIBUSD_Madera_Impresion,PIBUSD_Quimica,PIBUSD_Quimica_Refinacion,PIBUSD_Quimica_Otros,PIBUSD_Quimica_Plastico,PIBUSD_Quimica_Minerales,PIBUSD_Metales,PIBUSD_Metales_Basicos,PIBUSD_Metales_Electrico,PIBUSD_Metales_Maquinaria,PIBUSD_Metales_Vehiculos,PIBUSD_Muebles,PIBUSD_Muebles_Colchones,PIBUSD_Muebles_Otros,PIBUSD_Electricidad,PIBUSD_Electricidad_GTD,PIBUSD_Electricidad_Gas,PIBUSD_Agua,PIBUSD_Agua_Tratamiento,PIBUSD_Agua_Residuales,PIBUSD_Agua_Reciclaje,PIBUSD_Edificaciones,PIBUSD_Carreteras,PIBUSD_Civil,PIBUSD_Comercio,PIBUSD_Comercio_Vehiculos,PIBUSD_Comercio_Mantenimiento,PIBUSD_Transporte,PIBUSD_Transporte_Terrestre,PIBUSD_Transporte_Acuatico,PIBUSD_Transporte_Aereo,PIBUSD_Transporte_almacenamiento,PIBUSD_Transporte_Correo,PIBUSD_Alojamiento,PIBUSD_Información,PIBUSD_Financieras,PIBUSD_Inmobiliarias,PIBUSD_Profesionales,PIBUSD_Profesionales_Cientificas,PIBUSD_Profesionales_Servicios,PIBUSD_Administracion,PIBUSD_Educacion,PIBUSD_Educacion_Mercado,PIBUSD_Educacion_NoMercado,PIBUSD_Salud,PIBUSD_Entretenimiento,PIBUSD_Hogar,PIBUSD_Industria_Total,PIBUSD_ComercialyPublico_Total
"2010,00","233,38","14,56","8,34","1,24","3,97","0,52","0,49","14,01","2,81","9,26","1,53","0,54","0,06","8,72","1,90","0,43","1,03","1,42","0,18","0,77","0,24","0,72","2,04","3,52","2,90","0,61","1,97","0,38","1,01","0,58","11,24","3,12","3,73","0,90","3,54","4,79","1,94","0,60","1,50","0,76","1,82","0,70","1,13","5,43","4,63","0,78","2,56","0,76","1,40","0,41","8,03","3,55","3,11","18,66","17,02","1,64","11,97","8,80","0,08","1,05","1,79","0,27","8,68","6,66","8,13","21,85","16,53","7,93","8,60","11,41","11,33","5,68","5,65","8,59","4,01","1,56","60,63","119,96"
"2011,00","249,59","14,84","8,56","1,14","4,14","0,54","0,50","16,03","3,23","10,91","1,36","0,58","0,06","9,04","1,97","0,45","1,07","1,47","0,17","0,85","0,24","0,73","2,06","3,80","3,12","0,68","2,02","0,37","1,05","0,59","11,92","3,16","3,90","0,96","3,94","5,21","2,05","0,66","1,57","0,92","1,87","0,75","1,12","5,61","4,76","0,84","2,63","0,78","1,43","0,42","8,28","4,01","3,24","20,15","18,46","1,69","12,81","9,18","0,09","1,21","2,06","0,29","9,03","7,35","9,02","22,47","17,71","8,49","9,22","12,70","11,62","5,85","5,76","8,68","4,29","1,61","64,73","127,24"
"2012,00","259,36","15,21","8,83","1,12","4,25","0,58","0,51","16,89","3,35","11,41","1,62","0,59","0,07","9,14","2,05","0,46","1,09","1,45","0,15","0,84","0,24","0,74","2,12","3,78","3,12","0,66","2,07","0,37","1,09","0,61","11,95","3,04","3,94","0,95","4,05","5,29","2,11","0,63","1,57","0,98","1,92","0,77","1,15","5,74","4,85","0,88","2,68","0,81","1,43","0,43","8,77","4,25","3,43","20,94","19,18","1,76","13,28","9,42","0,08","1,28","2,21","0,30","9,36","7,44","9,71","23,18","18,56","8,90","9,66","13,69","12,06","6,04","6,02","9,05","4,43","1,66","66,24","132,74"
"2013,00","272,67","16,35","9,38","1,52","4,35","0,60","0,52","17,79","3,22","12,38","1,41","0,65","0,06","9,45","2,06","0,48","1,14","1,43","0,21","0,88","0,24","0,78","2,23","3,69","3,07","0,62","2,06","0,38","1,09","0,60","12,31","3,23","4,07","0,96","4,11","5,21","2,03","0,67","1,62","0,89","1,92","0,79","1,13","5,97","5,02","0,95","2,76","0,84","1,47","0,45","9,64","4,80","3,85","21,92","20,06","1,86","13,76","9,58","0,08","1,42","2,36","0,31","9,96","8,10","10,63","23,92","19,54","9,37","10,17","14,30","12,55","6,30","6,25","9,86","4,76","1,70","68,79","140,00"
"2014,00","284,94","16,82","9,54","1,75","4,36","0,64","0,53","17,55","3,32","12,08","1,39","0,73","0,07","9,72","2,09","0,51","1,16","1,39","0,23","0,99","0,26","0,80","2,29","3,76","3,12","0,64","2,11","0,39","1,14","0,58","12,68","2,97","4,10","0,97","4,65","5,41","2,13","0,68","1,66","0,95","1,98","0,80","1,18","6,21","5,18","1,03","2,82","0,86","1,50","0,46","10,31","5,44","4,15","23,01","21,03","1,98","14,32","9,90","0,08","1,52","2,48","0,33","10,46","8,62","11,72","24,67","20,96","10,05","10,92","15,87","12,81","6,53","6,27","10,12","4,87","1,77","70,03","147,69"
"2015,00","293,36","17,54","9,97","1,93","4,47","0,65","0,52","17,36","3,22","11,98","1,31","0,79","0,07","9,92","2,15","0,55","1,17","1,43","0,26","0,95","0,25","0,83","2,33","3,77","3,13","0,64","2,21","0,41","1,17","0,62","12,96","2,83","4,31","1,02","4,81","5,47","2,17","0,70","1,69","0,91","2,05","0,84","1,20","6,14","5,11","1,03","2,83","0,87","1,48","0,48","10,98","5,80","4,38","23,65","21,65","1,99","14,84","10,16","0,08","1,69","2,57","0,33","10,89","8,74","12,65","25,46","20,92","9,86","11,06","16,70","13,44","6,77","6,67","10,73","5,10","1,82","71,29","152,90"
"2016,00","299,49","18,02","10,33","2,00","4,53","0,67","0,50","16,86","3,66","10,83","1,48","0,81","0,08","10,16","2,20","0,55","1,19","1,54","0,26","0,87","0,26","0,85","2,44","3,94","3,28","0,66","2,34","0,42","1,26","0,65","13,52","3,36","4,40","1,04","4,71","5,57","2,25","0,74","1,69","0,88","2,03","0,86","1,17","6,19","5,15","1,04","2,77","0,86","1,45","0,47","11,63","5,65","4,64","24,50","22,47","2,03","14,87","10,06","0,09","1,83","2,58","0,32","11,33","8,68","13,02","26,35","20,41","9,61","10,80","17,29","14,02","6,97","7,05","11,05","5,41","1,89","72,44","156,74"
"2017,00","303,56","19,03","11,16","1,99","4,72","0,68","0,47","15,89","3,64","10,40","1,09","0,79","0,07","10,18","2,19","0,57","1,20","1,58","0,27","0,88","0,26","0,84","2,37","3,83","3,17","0,66","2,33","0,41","1,30","0,63","13,53","3,59","4,39","1,03","4,55","5,00","2,08","0,71","1,38","0,83","1,98","0,86","1,12","6,39","5,34","1,05","2,84","0,86","1,46","0,52","11,03","6,02","4,46","24,90","22,83","2,07","15,17","10,16","0,09","1,94","2,69","0,32","11,57","8,66","13,73","27,16","20,71","9,55","11,16","17,97","14,23","7,08","7,15","11,63","5,52","1,93","71,78","160,85"
"2018,00","311,34","19,33","11,28","1,97","4,89","0,68","0,51","15,63","3,44","10,58","0,94","0,78","0,07","10,42","2,30","0,54","1,21","1,60","0,26","0,90","0,28","0,86","2,46","3,79","3,18","0,60","2,34","0,37","1,35","0,62","13,68","3,75","4,46","1,07","4,40","5,12","2,05","0,74","1,42","0,90","2,04","0,86","1,18","6,56","5,49","1,07","2,90","0,89","1,48","0,53","11,00","5,87","4,37","25,59","23,50","2,09","15,55","10,32","0,09","2,06","2,79","0,33","11,88","8,97","14,24","28,24","21,53","9,95","11,58","19,01","14,68","7,19","7,49","12,21","5,64","1,99","72,36","166,88"
"2019,00","321,56","19,79","11,37","2,17","5,00","0,72","0,53","15,89","3,40","10,87","0,99","0,77","0,06","10,70","2,41","0,55","1,23","1,67","0,29","0,89","0,30","0,86","2,50","3,82","3,24","0,57","2,33","0,35","1,37","0,61","13,73","3,72","4,56","1,10","4,35","5,21","2,07","0,77","1,45","0,93","2,03","0,87","1,15","6,76","5,66","1,11","2,94","0,92","1,51","0,50","10,08","6,53","4,25","26,62","24,46","2,15","16,09","10,57","0,09","2,18","2,95","0,35","12,29","9,06","15,13","29,16","22,27","10,27","12,00","19,82","15,40","7,35","8,06","13,03","6,58","2,04","73,49","174,34"
